Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
374,Balancing Triangles,Paintings,Physical Art,819,Alexander Calder,Gouache on paper,27 x 40 in,1963,1963,"Painting; Abstract; Signed and dated lower right ""Calder 63""; The gouache and paper appear to be in good condition. A little bit of yellowing along the top of the paper. Frame is wood with gold paint on the from edges. There is not a matte around the paper. Glass covering. Frame appears to be somewhat structurally unsound. The frame is coming apart at the top and bottom right corners.",https://artcrimes.fbi.gov/nsaf/balancing-triangles/BalancingTriangles.jpg/@@images/image/thumb
375,Maryland Waterscape with Moored Sailboat,Paintings,Physical Art,722,Anonymous,,,,,painting; signed lower right corner,https://artcrimes.fbi.gov/nsaf/maryland-waterscape-with-moored-sailboat/MooredSailboat.gif/@@images/image/thumb
376,Twilight,Print,Physical Art,323,Erte,Serigraph,,20th Century,1990,print; woman; standing; headdress; gown; #6/300,https://artcrimes.fbi.gov/nsaf/twilight/Twilight.gif/@@images/image/thumb
377,"Medium Kingfishers Sculpture, Labradorite, Carnelian, Jade and Agate",Sculpture,Figures,911,Zadora Limited,Labradorite; carnelian; jade; gold; agate,,20th Century,1969,"sculpture; kingfisher; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/medium-kingfishers-sculpture-labradorite-carnelian-jade-and-agate/seal-fbi.jpg/@@images/image/thumb
378,Barovier Spina Platter,Flatware,Containers,881,Barovier,Glass,10 in,,,platter; No signature,https://artcrimes.fbi.gov/nsaf/barovier-spina-platter/SpinaPlatter.gif/@@images/image/thumb
379,Bathers,Paintings,Physical Art,423,Louis Fabien,Oil on canvas,30 x 24 in,,,painting; impressionism; water; swimming; nude woman; figures; two,https://artcrimes.fbi.gov/nsaf/bathers/Bathers.gif/@@images/image/thumb
380,Maltese Cross,Sculpture,Figures,331,Bijan Bahar,Crystal,9.5 x 9.5 x 4 in,Mar-81,1981,"sculpture; abstract art; ""Bijan Bahar"" inscribed on top right hand corner; Numbered 20/25 in right hand corner",https://artcrimes.fbi.gov/nsaf/maltese-cross/MalteseCross.gif/@@images/image/thumb
381,An Exact Abridgement of All Statutes in Force and Use,Books,Physical Art,895,Edmund Wingate,Printed paper book,Length,Copyright,,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/an-exact-abridgement-of-all-statutes-in-force-and-use/seal-fbi.jpg/@@images/image/thumb
382,Cruz de Bulto de Dos Brazos | Caravaca Cross,Sculpture,Figures,481,Mexico,Wood carved; gold,100.00 x 60.00 cm,18th Century,1780,sculpture; religious; cross,https://artcrimes.fbi.gov/nsaf/cruz-de-bulto-de-dos-brazos-caravaca-cross/CruzCross.gif/@@images/image/thumb
383,Man and Woman (Peasant Couple),Paintings,Physical Art,919,Dutch,Oil on canvas,14.5 x 11.5 in,circa 1700,1700,painting; Dutch; room; interior; man; woman; sitting; drinking; glass; table; birdcage; unsigned,https://artcrimes.fbi.gov/nsaf/man-and-woman-peasant-couple/PeasantCouple.gif/@@images/image/thumb
384,1962 Yankees World Series Ring,Jewelry - Rings,Accessories,429,,Gold,,1962,1962,,https://artcrimes.fbi.gov/nsaf/1962-yankees-world-series-ring/1962YankeesWorldSeriesRing.jpg/@@images/image/thumb
385,"Letter ""L"" (Alphabet Series)",Print,Physical Art,561,Erte,Serigraph,15.5 x 10 in,20th Century,1926,print; letter; nude woman; Signed; # 78/350,https://artcrimes.fbi.gov/nsaf/letter-l-alphabet-series/00561%20picture%203.jpg/@@images/image/thumb
386,Ange Surrealiste,Sculpture,Figures,693,Salvador Dali,Bronze,"64 1/8 x 33 7/16 in, Y",1983,1983,sculpture; abstract; editions 222/450 and 228/450; angel with triangle for head and oblong hole in chest area,https://artcrimes.fbi.gov/nsaf/ange-surrealiste/AngeSurrealiste.gif/@@images/image/thumb
387,Ballet Mistress,Print,Physical Art,776,Michael Parkes,,27.25 x 18.25 in,1998,1998,lithograph; woman; ballerina; man; swan; Number 87/160,https://artcrimes.fbi.gov/nsaf/ballet-mistress/BalletMistress.gif/@@images/image/thumb
388,Hinagiki,Other - Assorted,Miscellaneous,1127,Yoshitomo Nara,,Height,2000,2000,"Acrylic, pencil and colored pencil on canvas and wood painting; Title, date, and signature on back of painting; The words ""Wild Chrysanthemum"" in Japanese at the bottom of the painting",https://artcrimes.fbi.gov/nsaf/hinagiki/01127_picture.jpg/@@images/image/thumb
389,"Frog Brooch on Jade Lily Pad, Ruby and Diamond",Other - Jewelry,Accessories,911,Zadora Limited,Gold; ruby; jade,,20th Century,1992,"No Image Associated with this Item; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/frog-brooch-on-jade-lily-pad-ruby-and-diamond-id-013553/seal-fbi.jpg/@@images/image/thumb
390,Fantasia,Sculpture,Figures,659,Charpentier,Bronze,44 x 12.5 x 8 in,,,sculpture; modern art; woman; Signed; Edition #1/8,https://artcrimes.fbi.gov/nsaf/fantasia/Fantasia.gif/@@images/image/thumb
391,Stone Carving of Seated Eskimo with Hood,Sculpture,Figures,589,Inuit,Stone,4 in,,,carving; Inuit; Eskimo; sitting; hood,https://artcrimes.fbi.gov/nsaf/stone-carving-of-seated-eskimo-with-hood/Eskimo.gif/@@images/image/thumb
392,Ceramic pot,Other - Assorted,Miscellaneous,1139,Marie/Julian Martinez,Ceramic pot,Height,,,One symbol does not match its mate on opposite design,https://artcrimes.fbi.gov/nsaf/ceramic-pot-by-marie-julian-martinez/01139_picture_45.jpg/@@images/image/thumb
393,Smilax china,Paintings,Physical Art,1056,Mang Hang Ho,Watercolor and pencil on paper,Height,1980,1980,signed Ho Mang Hang in lower right corner,https://artcrimes.fbi.gov/nsaf/smilax-china/SmilaxChina.gif/@@images/image/thumb
394,Dusk at Rocky Point,Paintings,Physical Art,640,Michael Scolaro,Oil on canvas,11 x 14 in,1999,1999,"painting; seascape; clouds; water; ocean; shore; Signed ""M. Scolaro"" lower left corner",https://artcrimes.fbi.gov/nsaf/dusk-at-rocky-point/DuskRockyPoint.gif/@@images/image/thumb
395,Style #27 Aizumi,Other - Assorted,Miscellaneous,1139,Joy Navasie (Frog Woman),Ceramic pot,Height,,,,https://artcrimes.fbi.gov/nsaf/style-27-aizumi/01139_picture_33.jpg/@@images/image/thumb
396,The Prune People,Books,Physical Art,895,Edward Gorey,Printed paper book,Length,1983,1983,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/the-prune-people/seal-fbi.jpg/@@images/image/thumb
397,The Song of Hiawatha,Books,Physical Art,895,Henry Wadsworth Longfellow,Printed paper book,Length,1855,1855,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/the-song-of-hiawatha/seal-fbi.jpg/@@images/image/thumb
398,"Les Perles, Mandchoukno (The Pearls, Manchuria)",Print,Physical Art,737,Paul Jacoulet; Japan,Woodcut,8 x 6 in,circa 1950,1950,"print; portrait; Asian; woman; scarf; Signed in pencil lower left above the Peach seal. Seals of the carver, Kentaro Maeda, and printer, Matashiro Uchikawa, lower margin.; #242/350 numbered on reverse.",https://artcrimes.fbi.gov/nsaf/les-perles-mandchoukno-the-pearls-manchuria/ThePearls.gif/@@images/image/thumb
399,"Topographia Bohemiae, Moraviae et Silesiae",Books,Physical Art,925,Martin Zeiller,Book,,1650,1650,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/topographia-bohemiae-moraviae-et-silesiae/seal-fbi.jpg/@@images/image/thumb
400,"Northfleet Chalk Pit, Kent","drawing,watercolour",Physical Art,954,Richard Parkes Bonington,Watercolor,5.75 x 8 in,1801-1828,1815,drawing; landscape; man; wheelbarrow; shovel; trees; buildings,https://artcrimes.fbi.gov/nsaf/northfleet-chalk-pit-kent/Northfleet.gif/@@images/image/thumb
401,Faces in the Hood Series,Paintings,Physical Art,873,Tyree Guyton,Metal; paint; automobile hood,60 x 60 in,1990s,1990,painting; face; modern art; Small ID number on back,https://artcrimes.fbi.gov/nsaf/faces-in-the-hood-series-id-012371/Hood11.gif/@@images/image/thumb
402,The Many Pearls of the Dharma Garden in 120 Chapters,Books,Physical Art,865,Unknown (Chinese in origin),Book,Height,1124,1124,No Image Associated with this Item; Woodblock edition from the Pilu Tripitaka printed by the Kaiyuan Meditation Monastery of Fuzhou,https://artcrimes.fbi.gov/nsaf/the-many-pearls-of-the-dharma-garden-in-120-chapters/seal-fbi.jpg/@@images/image/thumb
403,Desnudo en Circulos,Paintings,Physical Art,687,Martinez Roig,Oil on canvas over cardboard,"20"" x 18""",20th Century,1990,"Signed ""Martinez Roig"" on lower right corner.",https://artcrimes.fbi.gov/nsaf/desnudo-en-circulos/DesnudoCirculos.gif/@@images/image/thumb
404,Study for Bees,Other - Arts and Antiques,Miscellaneous,819,Graham Sutherland,Watercolor and mixed media,3 x 12.25 in,1977,1977,"Mixed Media; Initialed and dated lower right ""G.S. 1977""; The work is in very good condition. The paper seems to be in good shape. There is no noticeable damage. The frame is good condition. Gilded wood with glass covering. A bit of scuffing and some dirty spots, but very structurally sound.",https://artcrimes.fbi.gov/nsaf/study-for-bees/StudyBees.jpg/@@images/image/thumb
405,Horse Racing,Paintings,Physical Art,926,Iran,,12 x 14 in,,,painting; Persian; horse; racing,https://artcrimes.fbi.gov/nsaf/horse-racing/HorseRacing.gif/@@images/image/thumb
406,Metropolis Suite - On the Avenue,Print,Physical Art,772,Erte,Serigraph,29.75 x 25.25 in,1986,1986,print; women; two; standing; hats; Signed; CXXVII/CL,https://artcrimes.fbi.gov/nsaf/metropolis-suite-on-the-avenue/OnTheAvenue.gif/@@images/image/thumb
407,Woman in White with Flowers,Paintings,Physical Art,428,Frederick Trap Friis,Oil on canvas,24 x 20 in,,,painting; portrait; left facing; woman; brunette; flowers; Signed,https://artcrimes.fbi.gov/nsaf/woman-in-white-with-flowers/WithFlowers.gif/@@images/image/thumb
408,Virgen del Carmen (Virgin of Carmen) 2/2,Paintings,Physical Art,1146,Taller Campeche,Oil on canvas painting,12 1/4in. x 9 3/8in. (with frame),1829,1829,Inscription on back,https://artcrimes.fbi.gov/nsaf/virgen-del-carmen-virgin-of-carmen-2-2/01146_picture_3.jpg/@@images/image/thumb
409,Poet,Sculpture,Figures,355,Giancarlo Biagi,Bronze,23.5 in,1980,1980,sculpture; bust; man; bald; Foundry Mark,https://artcrimes.fbi.gov/nsaf/poet/Poet.gif/@@images/image/thumb
410,"Queen Bee on Honeycomb Brooch, Gold and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Gold; diamond,,20th Century,1961,"brooch; bee; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/queen-bee-on-honeycomb-brooch-gold-and-diamond/seal-fbi.jpg/@@images/image/thumb
411,Coin Depicting Sultan's Signature,Coins and Paper Money,,1049,,,,,,coin; signature; flower,https://artcrimes.fbi.gov/nsaf/coin-depicting-sultans-signature/SultanCoin.gif/@@images/image/thumb
412,Akiko and Children,Print,Physical Art,893,Edna Hibel,Lithograph Print,,20th Century,1981,No Image Associated with this Item; signed; Portfolio # 264,https://artcrimes.fbi.gov/nsaf/akiko-and-children-id-20096/seal-fbi.jpg/@@images/image/thumb
413,Prajnaparamita Sutra in 600 Chapters,Books,Physical Art,865,China,,24.10 cm,1115,1115,book; China; Woodblock edition from the Pilu Tripitaka printed at Kaiyuan Monastery of Fuzhou,https://artcrimes.fbi.gov/nsaf/prajnaparamita-sutra-in-600-chapters-id-012616/seal-fbi.jpg/@@images/image/thumb
414,Color Lithograph of a Man and Woman,Paintings,Physical Art,503,Fernand Leger,Color lithograph on panel,23 x 17.5 in,1881-1955,1918,"painting; portrait; signed upper left, edition 181/350; framed, glazed",https://artcrimes.fbi.gov/nsaf/color-lithograph-of-a-man-and-woman/ManWomanLitho.gif/@@images/image/thumb
415,Harbor Scene,Paintings,Physical Art,933,Eugene Boudin,Oil on canvas,17.5 x 14 in,19th Century,1869,painting; sailing ships; harbor; impressionism,https://artcrimes.fbi.gov/nsaf/harbor-scene/HarborScene.gif/@@images/image/thumb
416,Isaac Newton Notes,Other - Assorted,Miscellaneous,366,Sir Isaac Newton,Ink on paper,30 x 8 in,1642-1727,1685,manuscript; religious; Jesus Christ; Sir Isaac Newton,https://artcrimes.fbi.gov/nsaf/isaac-newton-notes/seal-fbi.jpg/@@images/image/thumb
417,Landscape of Sand Dunes and Seagrass,Paintings,Physical Art,722,Anonymous,Oil on canvas,,,,painting; landscape; signed lower right corner,https://artcrimes.fbi.gov/nsaf/landscape-of-sand-dunes-and-seagrass/SandDunes.gif/@@images/image/thumb
418,Untitled Karel Appel Abstract Painting,Paintings,Physical Art,379,Karel Appel,Oil on canvas,14 x 16 in,1959,1959,painting; abstract art; black; white; red; signed upper left,https://artcrimes.fbi.gov/nsaf/untitled-karel-appel-abstract-painting/AbstractBWR.gif/@@images/image/thumb
419,The Theory of the Earth,Books,Physical Art,895,Thomas Burnet,Printed paper,,Copyright 1697,1697,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/the-theory-of-the-earth/seal-fbi.jpg/@@images/image/thumb
420,"Country Winter, OH",Paintings,Physical Art,1046,Max Moran,Oil on canvas,16 x 20 in,1987,1987,,https://artcrimes.fbi.gov/nsaf/country-winter-oh/CountryWinterOH.gif/@@images/image/thumb
421,Portrait of Oscar D. Johnson,Paintings,Physical Art,618,Robert Henri,Oil on canvas,30 x 24 in,1914,1914,painting; portrait; full face; boy; blond; Signed lower left,https://artcrimes.fbi.gov/nsaf/portrait-of-oscar-d-johnson/OscarJohnson.gif/@@images/image/thumb
422,Untitled Philip Paval Abstract Painting,Paintings,Physical Art,964,Philip Paval,Oil on board,24 x 30 in,1950-1970,1960,painting; abstract art,https://artcrimes.fbi.gov/nsaf/untitled-philip-paval-abstract-painting-id-014414/PhilipPaval4.gif/@@images/image/thumb
423,Headdress of the Lord of Resurrection (Rayo del Senor del Resurreccion),Clothing and Costumes,Fabrics,474,,Silver plate,"48.00 x 39.00 cm, y",,,headdress; halo; crown,https://artcrimes.fbi.gov/nsaf/headdress-of-the-lord-of-resurrection-rayo-del-senor-del-resurreccion/00474%20picture%206.JPG/@@images/image/thumb
424,The Last Meeting of Lee and Jackson,Paintings,Physical Art,33,Everett Julio,Oil on Canvas,"90"" x 70""",1869,1869,"This is an artist-made copy of the original painting ""The Last Meeting of Lee and Grant""; Depicts Generals Robert E. Lee and Ulysses S. Grant meeting on horseback; painting was cut from the frame during the theft",https://artcrimes.fbi.gov/nsaf/the-last-meeting-of-lee-and-jackson/LastMeetingLeeJackson.jpg/@@images/image/thumb
425,Market,Paintings,Physical Art,465,Imre Szobotka,Oil,60.00 x 90.00 cm,1924-1926,1925,painting; market; people; pig; street,https://artcrimes.fbi.gov/nsaf/market-by-imre-szobotka/Market.gif/@@images/image/thumb
426,Painter at the Eiffel Tower,Print,Physical Art,451,Marc Chagall,Lithograph,13 x 9.75 in,,,"print; man; Paris, France; Eiffel Tower; Signed; #23/50",https://artcrimes.fbi.gov/nsaf/painter-at-the-eiffel-tower/PainterAtTower.gif/@@images/image/thumb
427,Out of Orbit Platinum Figure,Sculpture,Figures,243,Colette,Mixed media,16 in,20th Century,1928,sculpture; modern art; figure; standing; light bulb; astronaut,https://artcrimes.fbi.gov/nsaf/out-of-orbit-platinum-figure/Platinum.gif/@@images/image/thumb
428,Autumn Scene,Paintings,Physical Art,583,John Henry Twachtman,Oil on canvas,11 x 16 in,1853-1902,1878,painting; landscape; autumn; leaves; raking; man; trees; Signed,https://artcrimes.fbi.gov/nsaf/autumn-scene-by-john-henry-twachtman/AutumnScene.gif/@@images/image/thumb
429,Napoli,Paintings,Physical Art,640,Michael Scolaro,Oil on canvas,48 x 60 in,1999,1999,"painting; abstract art; seascape; horizon; blue; Signed ""M. Scolaro '99"" in lower right corner",https://artcrimes.fbi.gov/nsaf/napoli/Napoli.gif/@@images/image/thumb
430,Picasso: Un Billet pour la Gloire,Print,Physical Art,945,Salvador Dali,Hand coloring on BFK Rives wove paper.,Unframed dimensions,1974,1974,"From the French-language edition of 195. Published by Transworld Art, New York. Transworld blindstamp lower left corner. Signed and numbered 'F111/195'",https://artcrimes.fbi.gov/nsaf/picasso-un-billet-pour-la-gloire/PicassoUnBilletGloire.gif/@@images/image/thumb
431,Self Portrait with Easel | Autoportrait au Chevalet,Print,Physical Art,335,Marc Chagall,Paper,,1979,1979,lithograph; man; nude woman; easel; Number 14/30,https://artcrimes.fbi.gov/nsaf/self-portrait-with-easel-autoportrait-au-chevalet/SelfPortraitWithEasel.gif/@@images/image/thumb
432,A Standing Figure of a High Priest,"drawing,watercolour",Physical Art,110,Francesco del Rossi,Red chalk,18.50 x 11.30 cm,1510-1563,1537,"drawing; religious; male; standing; robe; hat; Inscribed ""F. Salviati 13."" in brown ink on the old backing sheet. Numbered 304 (cancelled), 296 and c.181 in brown ink on the verso.; Sheet irregularly trimmed, and incised along the semicircular left edge of sheet.",https://artcrimes.fbi.gov/nsaf/a-standing-figure-of-a-high-priest/StandingFigureOfHighPriest.gif/@@images/image/thumb
433,Pair of Gilt Bronze Sconces,Other - Arts and Antiques,Miscellaneous,183,,Gilt bronze,,1870-1890,1880,Sconce,https://artcrimes.fbi.gov/nsaf/pair-of-gilt-bronze-sconces-id-020995/Sconces2.gif/@@images/image/thumb
434,Mickey Mantle I,Print,Physical Art,237,Andy Warhol,Silkscreen,,,,print; portrait; man; Mickey Mantle; #1-100,https://artcrimes.fbi.gov/nsaf/mickey-mantle-i/seal-fbi.jpg/@@images/image/thumb
435,Lonicera japonica and Rhus radicans,Paintings,Physical Art,1056,Mang Hang Ho,Watercolor and pencil on paper,Height,1991,1991,signed Ho Mang Hang in lower right,https://artcrimes.fbi.gov/nsaf/lonicera-japonica-and-rhus-radicans/LoniceraJaponicaAndRhusRadicans.gif/@@images/image/thumb
436,National Gazetteer in 90 Chapters,Books,Physical Art,865,China,,21.40 x 14.20 cm,Qing Period,,book; China; Woodblocks from the Wanshou Hall in Ming with early Qing repairs,https://artcrimes.fbi.gov/nsaf/national-gazetteer-in-90-chapters/seal-fbi.jpg/@@images/image/thumb
437,Aurora,Sculpture,Figures,355,Giancarlo Biagi,Bronze,16 in,1986,1986,sculpture; nude man; sitting; nude woman; reclining; Foundry Mark,https://artcrimes.fbi.gov/nsaf/aurora/Aurora.gif/@@images/image/thumb
438,Tangiers - The Musicians,Paintings,Physical Art,876,Arbit Blatas,Oil on canvas,40.00 x 53.00 cm,20th Century,1925,painting; impressionism; musicians; three; sitting; musical instruments; unsigned,https://artcrimes.fbi.gov/nsaf/tangiers-the-musicians/TheMusicians.gif/@@images/image/thumb
439,Blue Chalcedony Wild Boar Sculpture,Sculpture,Figures,911,Zadora Limited,Chalcedony; gold; diamond,,20th Century,1910,"sculpture; boar; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/blue-chalcedony-wild-boar-sculpture/seal-fbi.jpg/@@images/image/thumb
440,The Eye Bell,"drawing,watercolour",Physical Art,819,Dorothy Hood,Ink on paper,20 x 26 in,1970,1970,"Drawing; Abstract; Signed lower left ""Dorothy Hood""; There are some marks on the paper, but these are likely from the artist. There are a few spots where the paper has crinkled, but it is not noticeable. The frame is in very good condition (black plastic frame with glass)",https://artcrimes.fbi.gov/nsaf/the-eye-bell/TheEyeBell.jpg/@@images/image/thumb
